,date,label,latitude,longitude,xnorm,ynorm,bird,count
50,01-05-2024,"DJI_0180(M:0,F:0,O:0)",2.89473177715534,50.05650308949205,3,1,Males,0
51,01-05-2024,"DJI_0181(M:0,F:0,O:0)",2.895748570902832,50.34510284023774,3,1,Males,0
52,01-05-2024,"DJI_0182(M:0,F:0,O:0)",1.93483552816306,49.69966749545672,3,0,Males,0
53,01-05-2024,"DJI_0183(M:0,F:0,O:0)",1.9522125783845965,48.39050559251057,2,0,Males,0
54,01-05-2024,"DJI_0184(M:0,F:0,O:0)",1.9533359470020777,47.74939612600509,2,0,Males,0
55,01-05-2024,"DJI_0185(M:0,F:0,O:0)",1.953884745489589,47.13121087964262,2,0,Males,0
56,01-05-2024,"DJI_0186(M:0,F:0,O:0)",1.9576103151385984,46.51139832722795,2,0,Males,0
57,01-05-2024,"DJI_0187(M:0,F:0,O:0)",1.9645596622676216,45.89387864610477,1,0,Males,0
58,01-05-2024,"DJI_0188(M:0,F:0,O:0)",1.9627837378234112,45.27115515522589,1,0,Males,0
59,01-05-2024,"DJI_0189(M:0,F:0,O:0)",1.9633663884630683,44.64834726308078,1,0,Males,0
60,01-05-2024,"DJI_0190(M:0,F:0,O:0)",1.9708013671155693,43.71371620694556,0,0,Males,0
61,01-05-2024,"DJI_0191(M:0,F:0,O:0)",1.977864620392765,42.61597453858586,0,0,Males,0
62,01-05-2024,"DJI_0192(M:0,F:0,O:0)",1.975873266863729,42.50712834200039,0,0,Males,0
63,03-04-2024,"DJI_0732(M:0,F:0,O:0)",5.784881754479912,52.32727145252928,4,4,Males,0
64,03-04-2024,"DJI_0733(M:0,F:0,O:0)",5.77142478179054,51.78747764940994,4,4,Males,0
65,03-04-2024,"DJI_0734(M:0,F:0,O:0)",5.783232756271158,51.1537193187044,4,4,Males,0
66,03-04-2024,"DJI_0735(M:0,F:0,O:0)",5.794419120783509,50.519177661089245,4,4,Males,0
67,03-04-2024,"DJI_0736(M:0,F:0,O:0)",5.796784725841462,49.89572086714704,3,4,Males,0
68,03-04-2024,"DJI_0737(M:0,F:0,O:0)",5.807680983355432,49.24762207716807,3,4,Males,0
69,03-04-2024,"DJI_0738(M:0,F:0,O:0)",5.8090131087525805,48.62881522083734,3,4,Males,0
70,03-04-2024,"DJI_0739(M:0,F:0,O:0)",5.818281601986083,48.00537003877785,2,4,Males,0
71,03-04-2024,"DJI_0740(M:0,F:0,O:0)",5.822114304918767,47.38215329446796,2,4,Males,0
72,03-04-2024,"DJI_0741(M:0,F:0,O:0)",5.824701262135189,46.75801020378093,2,4,Males,0
73,03-04-2024,"DJI_0742(M:0,F:0,O:0)",5.827181086067935,46.13727130498911,1,4,Males,0
74,03-04-2024,"DJI_0743(M:0,F:0,O:0)",5.826277941359024,45.5150041643416,1,4,Males,0
75,03-04-2024,"DJI_0744(M:0,F:0,O:0)",5.83043897318359,45.09361363785322,1,4,Males,0
76,03-04-2024,"DJI_0745(M:0,F:0,O:0)",4.858535258055451,44.85098829185632,1,3,Males,0
77,03-04-2024,"DJI_0746(M:0,F:0,O:0)",4.85262097743929,45.8039446713852,1,3,Males,0
78,03-04-2024,"DJI_0747(M:0,F:0,O:0)",4.852990981509535,46.44259246406672,2,3,Males,0
79,03-04-2024,"DJI_0748(M:0,F:0,O:0)",4.851049863994071,46.75256090127088,2,3,Males,0
80,03-04-2024,"DJI_0749(M:0,F:0,O:0)",4.843528450043653,47.67743068039235,2,3,Males,0
