,date,label,latitude,longitude,xnorm,ynorm,bird
67,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Males
68,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Males
69,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Males
70,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Males
231,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Females
232,12/02/2024,"DJI_0022(M:7,F:2,O:0)",4.812612417,49.25942371,6,3,Females
71,12/02/2024,"DJI_0030(M:6,F:2,O:0)",3.902934319,49.05499434,3,2,Males
79,13/03/2024,"DJI_0030(M:2,F:0,O:0)",4.857338184,45.53849705,6,3,Males
80,13/03/2024,"DJI_0030(M:2,F:0,O:0)",4.857338184,45.53849705,6,3,Males
81,13/03/2024,"DJI_0047(M:1,F:0,O:0)",3.876027336,47.31245961,3,2,Males
82,13/03/2024,"DJI_0050(M:3,F:0,O:1)",3.888004035,45.44421684,6,2,Males
83,13/03/2024,"DJI_0050(M:3,F:0,O:1)",3.888004035,45.44421684,6,2,Males
84,13/03/2024,"DJI_0050(M:3,F:0,O:1)",3.888004035,45.44421684,6,2,Males
85,16/11/2023,"DJI_0006(M:1,F:0,O:0)",4.745664119,47.74602713,5,3,Males
282,16/11/2023,"DJI_0020(M:0,F:0,O:2)",4.142706674,46.79508872,6,3,Others
87,19/03/2024,"DJI_0004(M:2,F:1,O:0)",5.799230295,49.93692947,6,4,Males
88,19/03/2024,"DJI_0004(M:2,F:1,O:0)",5.799230295,49.93692947,6,4,Males
236,19/03/2024,"DJI_0004(M:2,F:1,O:0)",5.799230295,49.93692947,6,4,Females
349,19/03/2024,"DJI_0031(M:0,F:0,O:2)",3.87379144,48.13266615,6,2,Others
350,19/03/2024,"DJI_0031(M:0,F:0,O:2)",3.87379144,48.13266615,6,2,Others
91,19/03/2024,"DJI_0039(M:1,F:0,O:0)",2.933975385,43.12875153,1,1,Males
92,19/03/2024,"DJI_0059(M:1,F:0,O:0)",1.965416706,45.256938,1,0,Males
97,20/02/2024,"DJI_0675(M:1,F:0,O:0)",5.801453776,46.85918236,6,4,Males
98,20/02/2024,"DJI_0681(M:1,F:0,O:0)",4.870686011,45.78922616,6,3,Males
99,20/02/2024,"DJI_0703(M:3,F:0,O:0)",3.905672545,44.35018711,2,2,Males
100,20/02/2024,"DJI_0703(M:3,F:0,O:0)",3.905672545,44.35018711,2,2,Males
101,20/02/2024,"DJI_0703(M:3,F:0,O:0)",3.905672545,44.35018711,2,2,Males
102,20/02/2024,"DJI_0719(M:1,F:0,O:0)",1.936659812,49.63311292,1,0,Males
103,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Males
104,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Males
105,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Males
106,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Males
107,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Males
238,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Females
239,20/02/2024,"DJI_0720(M:5,F:2,O:0)",1.932219994,49.26603735,1,0,Females
108,20/02/2024,"DJI_0721(M:1,F:1,O:0)",1.946046447,48.643188,1,0,Males
111,20/11/2023,"DJI_0291(M:1,F:0,O:0)",5.122158456,52.00129696,6,4,Males
112,20/11/2023,"DJI_0293(M:1,F:0,O:0)",5.128525622,50.49406176,6,4,Males
113,20/11/2023,"DJI_0297(M:2,F:1,O:0)",5.123149915,47.47800501,6,4,Males
114,20/11/2023,"DJI_0297(M:2,F:1,O:0)",5.123149915,47.47800501,6,4,Males
241,20/11/2023,"DJI_0297(M:2,F:1,O:0)",5.123149915,47.47800501,6,4,Females
116,21/03/2024,"DJI_0010(M:1,F:1,O:0)",5.816991197,46.70131951,6,4,Males
242,21/03/2024,"DJI_0010(M:1,F:1,O:0)",5.816991197,46.70131951,6,4,Females
243,21/03/2024,"DJI_0011(M:0,F:1,O:0)",5.818981311,46.07803303,6,4,Females
117,21/03/2024,"DJI_0012(M:2,F:1,O:0)",5.823540231,45.45283572,6,4,Males
118,21/03/2024,"DJI_0012(M:2,F:1,O:0)",5.823540231,45.45283572,6,4,Males
244,21/03/2024,"DJI_0012(M:2,F:1,O:0)",5.823540231,45.45283572,6,4,Females
122,22/04/2024,"DJI_0026(M:1,F:0,O:0)",4.81704555,51.64737222,5,5,Males
123,25/03/2024,"DJI_0070(M:1,F:0,O:0)",5.81858009,49.38667642,6,4,Males
124,25/03/2024,"DJI_0084(M:2,F:1,O:0)",4.83981618,48.68978909,6,3,Males
125,25/03/2024,"DJI_0084(M:2,F:1,O:0)",4.83981618,48.68978909,6,3,Males
248,25/03/2024,"DJI_0084(M:2,F:1,O:0)",4.83981618,48.68978909,6,3,Females
126,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,3,2,Males
127,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,3,2,Males
128,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,3,2,Males
129,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,4,2,Males
130,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,4,2,Males
252,27/12/2023,"DJI_0423(M:0,F:1,O:0)",4.365269531,44.81207592,6,3,Females
132,27/12/2023,"DJI_0424(M:1,F:0,O:0)",4.363386305,45.88336636,6,3,Males
432,27/12/2023,"DJI_0434(M:0,F:0,O:1)",4.350471679,52.25341161,6,3,Others
133,27/12/2023,"DJI_0437(M:1,F:0,O:0)",3.410608796,50.33368711,1,2,Males
134,27/12/2023,"DJI_0440(M:1,F:0,O:0)",3.405829229,47.79601229,1,2,Males
135,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Males
136,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Males
137,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Males
253,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Females
254,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Females
433,27/12/2023,"DJI_0441(M:3,F:2,O:1)",3.405239906,47.1654535,1,2,Others
138,27/12/2023,"DJI_0446(M:1,F:0,O:0)",3.401702397,44.24164095,6,2,Males
139,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
140,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
141,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
142,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
143,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
144,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
145,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
146,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
147,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
148,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
